"Designator","Mid X","Mid Y","Layer","Rotation"
"C11","110.5mm","-90mm","top","0.0"
"U3","131mm","-97.5mm","top","0.0"
"R25","136.5mm","-106mm","top","45.0"
"U2","123mm","-106.5mm","top","-90.0"
"C22","131mm","-102mm","top","0.0"
"C12","131mm","-87mm","top","0.0"
"R15","136.5mm","-91mm","top","45.0"
"U1","123mm","-91.5mm","top","-90.0"
"C14","129.5mm","-90mm","top","0.0"
"C13","131mm","-92.5mm","top","180.0"
"C21","110.5mm","-105mm","top","0.0"
"C1","126.5mm","-97.5mm","top","-90.0"
"C2","135.5mm","-97.5mm","top","-90.0"
"C23","131mm","-107.5mm","top","180.0"
"C24","129.5mm","-105mm","top","0.0"
